40,50,,40,50
35,40,,64,42
53,43,,57,29
65,35,,50,35
64,42,,41,37
57,29,,40,50
63,23,,,
50,35,,40,50
56,37,,42,15
55,20,,38,5
40,50,,40,15
,,,42,12
40,50,,42,10
37,47,,44,5
27,43,,42,5
31,52,,40,5
45,30,,35,5
40,15,,38,15
42,12,,40,50
42,10,,,
42,5,,40,50
44,5,,45,65
40,5,,55,80
42,15,,55,82
40,50,,55,85
,,,60,85
40,50,,67,85
49,58,,65,82
55,80,,40,50
60,80,,,
55,82,,40,50
62,80,,53,43
60,85,,72,35
65,82,,85,25
67,85,,87,30
40,50,,88,30
,,,92,30
40,50,,95,30
49,42,,90,35
57,48,,88,35
85,25,,85,35
88,30,,57,48
87,30,,40,50
92,30,,,
95,30,,40,50
90,35,,31,52
88,35,,26,52
85,35,,20,50
40,50,,10,40
,,,0,45
40,50,,2,45
26,52,,5,45
20,82,,8,45
24,58,,40,50
20,50,,,
10,40,,40,50
5,35,,60,80
0,45,,65,85
2,45,,62,80
40,50,,58,75
,,,63,65
40,50,,55,60
55,54,,49,58
55,60,,40,50
65,85,,,
55,85,,40,50
58,75,,20,82
63,65,,25,85
65,55,,22,85
72,35,,20,85
47,47,,15,80
40,50,,15,75
,,,18,75
40,50,,18,80
45,65,,20,80
25,85,,22,75
22,85,,31,67
20,85,,35,69
15,80,,40,50
18,75,,,
15,75,,40,50
18,80,,35,40
20,80,,26,35
22,75,,25,30
31,67,,21,24
40,50,,20,20
,,,30,25
40,50,,37,31
37,31,,40,50
30,25,,,
8,40,,40,50
26,35,,15,60
25,30,,2,60
21,24,,2,40
20,20,,0,40
15,10,,10,35
40,50,,5,35
,,,10,20
40,50,,37,47
15,60,,40,50
2,60,,,
2,40,,40,50
10,35,,45,30
0,40,,60,12
5,45,,67,5
8,45,,65,20
10,20,,63,23
40,50,,55,20
,,,47,47
40,50,,40,50
38,15,,,
38,5,,40,50
67,5,,40,50
65,20,,,
40,50,,40,50
,,,49,42
40,50,,56,37
4,18,,65,35
5,5,,95,35
12,24,,65,55
41,37,,61,52
61,52,,55,54
40,50,,40,50
,,,,
40,50,,40,50
95,35,,27,43
30,60,,8,40
40,60,,12,24
35,69,,4,18
40,50,,5,5
,,,15,10
40,50,,23,3
60,12,,40,50
23,3,,,
40,50,,40,50
,,,24,58
40,50,,8,56
8,56,,6,68
6,68,,30,60
40,50,,40,60
,,,40,50
40,50,,,
35,5,,40,50
40,50,,40,50
,,,,
,,,,
!!!!!!,,,,
