40,50
35,40
53,43
65,35
64,42
49,58
55,54
55,60
40,60
35,69
31,67
40,50
,
40,50
49,42
55,80
55,82
62,80
60,85
55,85
67,85
65,82
63,65
40,50
,
40,50
26,52
5,45
2,45
0,40
2,40
10,35
10,40
8,45
5,35
10,20
40,50
,
40,50
27,43
31,52
24,58
20,50
15,75
20,80
20,85
22,85
40,50
,
40,50
57,48
60,80
45,65
58,75
25,85
22,75
40,50
,
40,50
37,31
65,20
60,12
55,20
57,29
42,15
38,15
35,5
40,50
,
40,50
56,37
63,23
45,30
26,35
30,25
41,37
25,30
47,47
40,50
,
40,50
72,35
85,25
92,30
90,35
95,30
87,30
88,35
85,35
61,52
40,50
,
40,50
42,5
40,5
38,5
20,20
40,50
,
40,50
5,5
21,24
12,24
4,18
15,10
23,3
40,50
,
40,50
20,82
2,60
30,60
40,50
,
40,50
65,85
65,55
50,35
40,50
,
40,50
8,40
37,47
67,5
40,50
,
40,50
95,35
88,30
15,60
40,50
,
40,50
42,10
44,5
42,12
40,15
40,50
,
40,50
8,56
6,68
18,80
40,50
,
40,50
18,75
15,80
0,45
40,50
