40,50,,40,50
35,40,,56,37
53,43,,65,35
56,37,,64,42
65,35,,57,48
64,42,,55,54
57,48,,40,50
72,35,,,
49,42,,40,50
61,52,,63,65
40,50,,55,80
,,,55,82
40,50,,62,80
63,65,,60,85
55,80,,55,85
55,82,,65,82
62,80,,67,85
60,85,,40,50
58,75,,,
65,82,,40,50
67,85,,31,52
35,69,,26,52
40,50,,20,50
,,,10,40
40,50,,5,35
37,31,,0,45
27,43,,40,50
24,58,,,
20,50,,40,50
10,40,,8,45
5,35,,8,40
0,45,,10,35
40,50,,12,24
,,,15,10
40,50,,23,3
31,52,,40,50
26,52,,,
8,40,,40,50
10,35,,5,45
4,18,,2,45
20,20,,2,40
15,10,,0,40
40,50,,6,68
,,,18,80
40,50,,25,85
5,45,,35,69
2,45,,31,67
2,40,,40,50
0,40,,,
2,60,,40,50
18,80,,60,80
20,80,,65,85
25,85,,65,55
31,67,,61,52
40,50,,40,50
,,,,
40,50,,40,50
60,80,,20,85
65,85,,20,82
65,55,,22,75
85,35,,15,75
87,30,,18,75
47,47,,15,80
40,50,,22,85
,,,20,80
40,50,,15,60
20,82,,40,50
20,85,,,
22,75,,40,50
15,75,,53,43
18,75,,85,25
15,80,,88,30
22,85,,92,30
15,60,,95,30
40,50,,67,5
,,,40,50
40,50,,,
65,20,,40,50
85,25,,27,43
92,30,,25,30
88,30,,26,35
95,30,,21,24
67,5,,30,25
40,50,,35,5
,,,42,5
40,50,,40,50
10,20,,,
25,30,,40,50
26,35,,37,31
21,24,,38,5
42,15,,40,5
38,15,,44,5
42,5,,40,15
40,50,,38,15
,,,40,50
40,50,,,
45,30,,40,50
38,5,,37,47
44,5,,57,29
42,12,,50,35
50,35,,40,50
40,50,,,
,,,40,50
40,50,,24,58
45,65,,2,60
49,58,,8,56
40,50,,30,60
,,,40,60
40,50,,40,50
8,45,,,
8,56,,40,50
40,50,,95,35
,,,90,35
40,50,,88,35
88,35,,85,35
90,35,,87,30
95,35,,40,50
55,54,,,
55,60,,40,50
40,50,,45,30
,,,42,10
40,50,,42,12
40,5,,42,15
42,10,,41,37
40,15,,40,50
30,25,,,
41,37,,40,50
40,50,,40,50
,,,,
40,50,,40,50
37,47,,65,20
57,29,,60,12
40,60,,55,20
40,50,,63,23
,,,72,35
40,50,,49,42
60,12,,47,47
55,20,,40,50
63,23,,,
23,3,,40,50
40,50,,35,40
,,,10,20
40,50,,5,5
5,5,,4,18
12,24,,20,20
30,60,,40,50
40,50,,,
,,,40,50
40,50,,45,65
6,68,,49,58
55,85,,58,75
40,50,,55,60
,,,40,50
40,50,,,
35,5,,40,50
40,50,,40,50
,,,,
,,,,
!!!!!!,,,,
