40,50
64,42
57,29
50,35
40,60
40,50
,
40,50
45,30
42,15
40,15
37,31
41,37
40,50
,
40,50
49,58
55,80
55,82
55,85
60,85
67,85
65,82
55,60
40,50
,
40,50
49,42
56,37
85,25
87,30
88,30
92,30
95,30
57,48
40,50
,
40,50
31,52
24,58
20,50
10,35
10,40
0,45
2,45
5,45
8,45
40,50
,
40,50
45,65
60,80
65,85
62,80
58,75
63,65
65,55
61,52
55,54
40,50
,
40,50
20,82
25,85
22,85
20,85
15,80
15,75
18,75
18,80
20,80
22,75
31,67
35,69
40,50
,
40,50
26,35
21,24
20,20
25,30
40,50
,
40,50
27,43
8,40
2,40
0,40
5,35
40,50
,
40,50
35,40
30,25
38,15
38,5
40,5
42,5
44,5
67,5
65,20
63,23
40,50
,
40,50
12,24
4,18
5,5
15,10
10,20
37,47
40,50
,
40,50
40,50
,
40,50
55,20
60,12
42,12
42,10
35,5
23,3
40,50
,
40,50
26,52
2,60
6,68
8,56
15,60
30,60
40,50
,
40,50
53,43
65,35
95,35
90,35
88,35
85,35
72,35
47,47
40,50
