40,50,,40,50
35,40,,53,43
53,43,,65,35
65,35,,64,42
64,42,,65,55
49,58,,55,60
55,54,,40,60
55,60,,35,69
40,60,,31,67
35,69,,40,50
31,67,,,
40,50,,40,50
,,,60,80
40,50,,65,82
49,42,,65,85
55,80,,60,85
55,82,,62,80
62,80,,58,75
60,85,,55,85
65,82,,67,85
55,85,,63,65
67,85,,40,50
63,65,,,
40,50,,40,50
,,,8,45
40,50,,5,45
26,52,,2,45
5,45,,0,40
2,45,,2,40
2,40,,10,35
0,40,,10,40
10,35,,5,35
10,40,,0,45
8,45,,26,52
5,35,,40,50
10,20,,,
40,50,,40,50
,,,22,75
40,50,,20,82
27,43,,15,80
31,52,,15,75
24,58,,18,75
20,50,,18,80
15,75,,20,80
20,80,,20,85
20,85,,22,85
22,85,,25,85
40,50,,40,50
,,,,
40,50,,40,50
57,48,,55,80
60,80,,55,82
45,65,,45,65
58,75,,49,58
25,85,,40,50
22,75,,,
40,50,,40,50
,,,56,37
40,50,,63,23
37,31,,65,20
65,20,,60,12
60,12,,55,20
55,20,,42,15
57,29,,35,5
42,15,,38,15
38,15,,37,31
35,5,,40,50
40,50,,,
,,,40,50
40,50,,45,30
56,37,,26,35
63,23,,21,24
45,30,,30,25
26,35,,20,20
30,25,,25,30
41,37,,40,50
25,30,,,
47,47,,40,50
40,50,,72,35
,,,85,25
40,50,,92,30
72,35,,88,30
85,25,,87,30
92,30,,85,35
90,35,,61,52
88,35,,55,54
85,35,,40,50
87,30,,,
95,30,,40,50
61,52,,38,5
40,50,,40,5
,,,42,10
40,50,,42,12
42,5,,40,15
38,5,,41,37
40,5,,40,50
20,20,,,
40,50,,40,50
,,,35,40
40,50,,5,5
5,5,,10,20
21,24,,12,24
12,24,,4,18
4,18,,15,10
15,10,,23,3
23,3,,40,50
40,50,,,
,,,40,50
40,50,,31,52
20,82,,24,58
2,60,,20,50
30,60,,8,56
40,50,,15,60
,,,40,50
40,50,,,
65,85,,40,50
65,55,,37,47
50,35,,40,50
40,50,,,
,,,40,50
40,50,,40,50
8,40,,,
37,47,,40,50
67,5,,57,48
40,50,,88,35
,,,90,35
40,50,,95,35
95,35,,95,30
88,30,,67,5
15,60,,40,50
40,50,,,
,,,40,50
40,50,,42,5
42,10,,44,5
44,5,,57,29
40,15,,50,35
42,12,,49,42
40,50,,47,47
,,,40,50
40,50,,,
8,56,,40,50
6,68,,27,43
18,80,,8,40
40,50,,2,60
,,,6,68
40,50,,30,60
15,80,,40,50
18,75,,,
0,45,,40,50
40,50,,40,50
,,,,
,,,,
!!!!!!,,,,
