40,50
53,43
65,35
57,48
49,58
40,50
,
40,50
55,80
55,82
55,85
67,85
65,82
63,65
40,50
,
40,50
8,45
5,45
2,45
0,40
2,40
10,40
5,35
0,45
40,50
,
40,50
22,75
20,82
20,85
22,85
25,85
35,69
40,50
,
40,50
60,80
65,85
60,85
62,80
58,75
55,60
40,50
,
40,50
63,23
65,20
60,12
55,20
42,5
40,5
35,5
38,15
40,50
,
40,50
45,30
26,35
21,24
30,25
41,37
40,50
,
40,50
49,42
56,37
85,25
92,30
95,30
88,35
61,52
40,50
,
40,50
35,40
37,31
38,5
5,5
4,18
10,20
20,20
25,30
40,50
,
40,50
27,43
8,40
10,35
12,24
15,10
23,3
40,50
,
40,50
31,52
26,52
20,50
8,56
15,60
40,50
,
40,50
55,54
65,55
64,42
57,29
50,35
40,50
,
40,50
37,47
40,50
,
40,50
85,35
90,35
95,35
88,30
87,30
72,35
47,47
40,50
,
40,50
42,10
44,5
42,12
40,15
42,15
67,5
40,50
,
40,50
24,58
2,60
6,68
30,60
40,60
40,50
,
40,50
45,65
18,75
15,80
18,80
20,80
15,75
31,67
40,50
